bed_id,ward_name,room_number,bed_type,availability_status
1,Emergency,311,General,Available
2,Pediatric Ward,365,General,Available
3,Maternity Ward,472,ICU,Occupied
4,Pediatric Ward,196,Semi-Private,Occupied
5,Pediatric Ward,322,General,Available
6,Emergency,294,General,Available
7,General Ward,438,General,Occupied
8,Maternity Ward,315,General,Available
9,Maternity Ward,447,ICU,Occupied
10,General Ward,162,General,Available
11,Pediatric Ward,128,Semi-Private,Available
12,General Ward,207,ICU,Occupied
13,ICU,333,Private,Occupied
14,General Ward,394,General,Occupied
15,General Ward,275,General,Occupied
16,Emergency,203,Semi-Private,Available
17,Emergency,217,Private,Occupied
18,Maternity Ward,292,General,Available
19,Maternity Ward,118,Private,Occupied
20,ICU,350,ICU,Available
21,ICU,409,Semi-Private,Occupied
22,Emergency,166,Semi-Private,Available
23,ICU,164,Semi-Private,Available
24,Emergency,103,ICU,Occupied
25,Pediatric Ward,239,Semi-Private,Available
26,Pediatric Ward,498,Semi-Private,Occupied
27,Pediatric Ward,219,Semi-Private,Occupied
28,General Ward,153,Semi-Private,Available
29,Maternity Ward,322,Semi-Private,Available
30,Emergency,475,Private,Available
31,General Ward,288,ICU,Available
32,ICU,278,Private,Available
33,Pediatric Ward,443,ICU,Available
34,ICU,315,ICU,Available
35,Pediatric Ward,384,ICU,Available
36,Pediatric Ward,400,General,Occupied
37,Maternity Ward,343,General,Occupied
38,Maternity Ward,328,Semi-Private,Available
39,ICU,168,ICU,Occupied
40,Pediatric Ward,314,ICU,Available
41,ICU,357,General,Available
42,ICU,469,Semi-Private,Occupied
43,General Ward,252,Private,Available
44,Emergency,102,ICU,Occupied
45,Emergency,483,Semi-Private,Available
46,Pediatric Ward,109,Semi-Private,Available
47,General Ward,265,Semi-Private,Available
48,Emergency,302,Semi-Private,Occupied
49,Emergency,296,Semi-Private,Available
50,ICU,103,Private,Occupied
51,General Ward,402,Private,Occupied
52,ICU,490,Semi-Private,Occupied
53,General Ward,494,Semi-Private,Available
54,ICU,191,Private,Occupied
55,ICU,417,Semi-Private,Occupied
56,Pediatric Ward,470,Private,Occupied
57,ICU,146,Semi-Private,Occupied
58,Maternity Ward,433,Private,Occupied
59,Maternity Ward,265,Semi-Private,Occupied
60,ICU,393,ICU,Occupied
61,Pediatric Ward,342,General,Available
62,Maternity Ward,136,ICU,Occupied
63,Maternity Ward,479,ICU,Occupied
64,Maternity Ward,487,General,Occupied
65,ICU,478,Private,Occupied
66,Maternity Ward,421,ICU,Occupied
67,Maternity Ward,238,ICU,Available
68,Emergency,406,General,Occupied
69,Emergency,121,ICU,Occupied
70,Emergency,243,Private,Occupied
71,ICU,197,General,Occupied
72,Pediatric Ward,158,Private,Available
73,Maternity Ward,279,General,Occupied
74,Maternity Ward,415,ICU,Occupied
75,Maternity Ward,184,Semi-Private,Available
76,Maternity Ward,349,General,Available
77,ICU,303,General,Occupied
78,General Ward,289,Semi-Private,Available
79,General Ward,253,General,Occupied
80,General Ward,449,Private,Available
81,ICU,432,ICU,Available
82,General Ward,468,Semi-Private,Available
83,ICU,199,Semi-Private,Occupied
84,General Ward,195,Semi-Private,Available
85,General Ward,110,ICU,Available
86,General Ward,211,ICU,Occupied
87,ICU,239,General,Available
88,ICU,484,Private,Available
89,Pediatric Ward,178,Semi-Private,Occupied
90,ICU,280,Private,Available
91,Pediatric Ward,474,General,Available
92,Maternity Ward,494,Private,Occupied
93,Pediatric Ward,107,Private,Occupied
94,Pediatric Ward,451,Semi-Private,Available
95,Pediatric Ward,451,Semi-Private,Available
96,ICU,489,ICU,Occupied
97,Pediatric Ward,470,ICU,Occupied
98,ICU,110,ICU,Occupied
99,Pediatric Ward,428,Private,Available
100,Maternity Ward,205,Private,Occupied
101,General Ward,196,General,Available
102,Pediatric Ward,442,Private,Occupied
103,Maternity Ward,448,ICU,Occupied
104,General Ward,379,Private,Occupied
105,Pediatric Ward,239,Private,Occupied
106,Maternity Ward,252,Semi-Private,Available
107,ICU,225,Semi-Private,Available
108,General Ward,258,Semi-Private,Available
109,Emergency,385,Semi-Private,Occupied
110,Emergency,338,General,Occupied
111,Maternity Ward,203,ICU,Occupied
112,Emergency,241,Semi-Private,Occupied
113,Emergency,142,Private,Available
114,Emergency,345,Private,Occupied
115,Maternity Ward,232,General,Available
116,ICU,405,Private,Occupied
117,ICU,400,ICU,Occupied
118,General Ward,160,Private,Available
119,ICU,181,General,Available
120,ICU,441,ICU,Occupied
121,Emergency,289,General,Available
122,Maternity Ward,328,ICU,Occupied
123,Emergency,147,General,Occupied
124,Maternity Ward,116,Private,Occupied
125,Maternity Ward,383,Private,Available
126,General Ward,233,Private,Occupied
127,Maternity Ward,282,Private,Available
128,General Ward,342,Private,Occupied
129,General Ward,283,General,Occupied
130,Emergency,328,Semi-Private,Occupied
131,Emergency,477,General,Occupied
132,Maternity Ward,222,Semi-Private,Available
133,Maternity Ward,441,ICU,Occupied
134,ICU,201,Private,Available
135,Pediatric Ward,396,Semi-Private,Occupied
136,Maternity Ward,122,ICU,Occupied
137,General Ward,480,Private,Occupied
138,General Ward,352,Private,Available
139,ICU,394,Private,Occupied
140,General Ward,467,General,Occupied
141,ICU,343,ICU,Available
142,Pediatric Ward,105,ICU,Available
143,Pediatric Ward,257,Private,Available
144,Maternity Ward,123,Private,Occupied
145,Maternity Ward,334,ICU,Occupied
146,Maternity Ward,328,Private,Available
147,Emergency,244,Semi-Private,Available
148,ICU,134,ICU,Available
149,Pediatric Ward,113,Semi-Private,Available
150,Maternity Ward,325,Private,Occupied
151,Maternity Ward,257,ICU,Available
152,ICU,203,General,Available
153,General Ward,215,Private,Available
154,Emergency,149,Private,Occupied
155,General Ward,337,ICU,Available
