medicine_id,medicine_name,category,unit_price,stock_quantity
1,Vero,Syrup,244,546
2,Quaerat,Capsule,158,441
3,Doloribus,Syrup,265,926
4,Sapiente,Tablet,339,356
5,Soluta,Injection,375,955
6,Officiis,Injection,82,583
7,Dolores,Syrup,191,824
8,Neque,Injection,498,836
9,Deleniti,Capsule,103,181
10,Ad,Injection,491,979
11,Neque,Injection,109,192
12,Modi,Syrup,201,917
13,Cum,Injection,77,594
14,Sequi,Tablet,283,89
15,Ab,Syrup,129,686
16,Delectus,Capsule,463,923
17,Incidunt,Capsule,212,942
18,Aliquam,Tablet,397,563
19,Minima,Tablet,80,285
20,Pariatur,Syrup,403,205
21,Minus,Capsule,291,771
22,Accusantium,Syrup,348,282
23,Ab,Syrup,10,597
24,Voluptas,Capsule,71,66
25,Amet,Capsule,122,128
26,Perferendis,Capsule,198,694
27,Sit,Capsule,236,874
28,Dolores,Syrup,283,434
29,Iste,Tablet,448,777
30,Harum,Injection,120,202
31,Cum,Tablet,110,592
32,Corporis,Tablet,76,430
33,Accusamus,Tablet,312,183
34,Expedita,Injection,417,117
35,Omnis,Syrup,229,781
36,Rerum,Tablet,407,246
37,Facilis,Syrup,493,90
38,Fuga,Syrup,479,886
39,Atque,Tablet,238,260
40,Et,Syrup,297,89
41,Quo,Capsule,236,684
42,Voluptatum,Syrup,35,736
43,Numquam,Injection,196,482
44,Natus,Capsule,399,822
45,Delectus,Capsule,253,528
46,Animi,Tablet,472,736
47,Officiis,Injection,76,717
48,Laudantium,Syrup,68,208
49,Commodi,Injection,361,183
50,Laboriosam,Tablet,459,79
51,Et,Capsule,487,114
52,Ea,Capsule,450,194
53,Illo,Capsule,52,825
54,Quo,Injection,104,370
55,Provident,Capsule,261,579
56,Maxime,Syrup,253,753
57,Architecto,Tablet,43,570
58,Eligendi,Syrup,349,792
59,Cupiditate,Injection,223,247
60,Pariatur,Syrup,180,103
61,Doloremque,Tablet,472,944
62,Vel,Tablet,495,659
63,Quo,Capsule,295,801
64,Itaque,Tablet,228,253
65,Suscipit,Injection,404,55
66,Sequi,Capsule,350,622
67,Est,Syrup,247,999
68,Soluta,Tablet,460,165
69,Voluptate,Injection,407,800
70,Accusamus,Syrup,232,179
71,Voluptatibus,Syrup,126,562
72,Nihil,Capsule,220,999
73,Esse,Injection,402,376
74,Fugit,Capsule,320,621
75,Consequuntur,Tablet,428,637
76,Tenetur,Syrup,265,453
77,Excepturi,Syrup,80,227
78,Eius,Capsule,44,584
79,Temporibus,Syrup,342,328
80,Provident,Injection,360,154
81,Pariatur,Tablet,207,785
82,Aliquam,Tablet,148,885
83,A,Tablet,122,617
84,Illum,Syrup,409,312
85,Adipisci,Capsule,466,485
86,Culpa,Injection,397,249
87,Rerum,Capsule,48,229
88,Expedita,Injection,59,950
89,Libero,Syrup,489,832
90,Dolorem,Tablet,131,292
91,Architecto,Tablet,140,212
92,Hic,Syrup,300,813
93,Est,Syrup,104,571
94,Harum,Capsule,235,61
95,Tenetur,Tablet,190,277
96,Minus,Tablet,82,745
97,Eligendi,Injection,445,645
98,Et,Tablet,256,933
99,Fuga,Capsule,452,966
100,Porro,Syrup,93,77
101,Magni,Tablet,108,762
102,Iste,Syrup,477,743
103,Cum,Injection,430,430
104,Iusto,Capsule,121,238
105,Vitae,Tablet,152,321
106,Odit,Syrup,332,769
107,Nisi,Capsule,298,455
108,Quo,Capsule,498,945
109,Minima,Tablet,196,326
110,Minus,Capsule,450,626
111,Voluptas,Tablet,310,994
112,At,Injection,381,762
113,Soluta,Injection,107,111
114,Distinctio,Tablet,471,117
115,Vitae,Tablet,167,768
116,Ad,Tablet,127,234
117,Id,Capsule,310,916
118,Architecto,Tablet,308,993
119,Beatae,Syrup,215,199
120,A,Tablet,436,271
121,Sunt,Syrup,314,545
122,Aliquid,Tablet,95,559
123,Sit,Injection,448,67
124,Aperiam,Tablet,293,775
125,Atque,Tablet,412,292
126,Non,Capsule,328,526
127,Modi,Tablet,179,590
128,Magnam,Capsule,72,966
129,Sunt,Injection,491,483
130,Enim,Capsule,161,980
131,Illum,Tablet,22,442
132,Enim,Capsule,305,872
133,Est,Injection,374,574
134,Impedit,Tablet,288,792
135,Esse,Injection,184,737
136,Est,Capsule,355,572
137,Deleniti,Capsule,240,281
138,Animi,Injection,25,447
139,Porro,Syrup,218,980
140,Ea,Capsule,214,481
141,Voluptate,Syrup,21,491
142,Facere,Syrup,393,422
143,Nesciunt,Capsule,117,767
144,Magnam,Injection,362,385
145,Possimus,Injection,277,259
146,Facere,Capsule,455,364
147,Iure,Tablet,452,625
148,Excepturi,Injection,333,957
149,Magnam,Tablet,221,911
150,Voluptatem,Injection,302,263
